"Tanggal","Terakhir"
"2014-01-01",1205.40
"2014-01-02",1391.70
"2014-01-03",1405.50
"2014-01-06",1405.00
"2014-01-07",1395.50
"2014-01-08",1392.60
"2014-01-09",1397.90
"2014-01-10",1413.40
"2014-01-13",1416.00
"2014-01-14",1411.80
"2014-01-15",1405.90
"2014-01-16",1405.70
"2014-01-17",1417.10
"2014-01-20",1255.10
"2014-01-21",1405.10
"2014-01-22",1403.60
"2014-01-23",1426.10
"2014-01-24",1426.00
"2014-01-27",1425.10
"2014-01-28",1412.00
"2014-01-29",1422.20
"2014-01-30",1402.80
"2014-01-31",1398.90
"2014-02-03",1417.10
"2014-02-04",1407.30
"2014-02-05",1413.00
"2014-02-06",1413.30
"2014-02-07",1415.70
"2014-02-10",1427.50
"2014-02-11",1443.60
"2014-02-12",1451.10
"2014-02-13",1451.40
"2014-02-14",1470.80
"2014-02-17",1328.50
"2014-02-18",1473.20
"2014-02-19",1467.70
"2014-02-20",1467.80
"2014-02-21",1474.40
"2014-02-24",1491.00
"2014-02-25",1493.80
"2014-02-26",1478.40
"2014-02-27",1481.30
"2014-02-28",1473.00
"2014-03-03",1500.00
"2014-03-04",1488.70
"2014-03-05",1491.10
"2014-03-06",1504.30
"2014-03-07",1494.60
"2014-03-10",1497.20
"2014-03-11",1502.20
"2014-03-12",1525.20
"2014-03-13",1526.00
"2014-03-14",1532.40
"2014-03-17",1525.60
"2014-03-18",1511.60
"2014-03-19",1493.00
"2014-03-20",1488.70
"2014-03-21",1493.50
"2014-03-24",1468.50
"2014-03-25",1466.40
"2014-03-26",1456.10
"2014-03-27",1447.80
"2014-03-28",1445.30
"2014-03-31",1433.80
"2014-04-01",1430.00
"2014-04-02",1442.50
"2014-04-03",1435.10
"2014-04-04",1452.70
"2014-04-07",1442.70
"2014-04-08",1452.30
"2014-04-09",1451.10
"2014-04-10",1461.70
"2014-04-11",1459.70
"2014-04-14",1469.30
"2014-04-15",1442.00
"2014-04-16",1446.00
"2014-04-17",1437.50
"2014-04-21",1432.40
"2014-04-22",1425.40
"2014-04-23",1424.00
"2014-04-24",1429.70
"2014-04-25",1438.90
"2014-04-28",1435.70
"2014-04-29",1432.50
"2014-04-30",1431.80
"2014-05-01",1417.50
"2014-05-02",1437.50
"2014-05-05",1444.40
"2014-05-06",1444.00
"2014-05-07",1423.30
"2014-05-08",1421.70
"2014-05-09",1421.80
"2014-05-12",1430.60
"2014-05-13",1427.50
"2014-05-14",1435.30
"2014-05-15",1422.00
"2014-05-16",1422.30
"2014-05-19",1421.90
"2014-05-20",1422.50
"2014-05-21",1416.10
"2014-05-22",1422.70
"2014-05-23",1419.10
"2014-05-25",1291.70
"2014-05-26",1292.50
"2014-05-27",1392.90
"2014-05-28",1385.40
"2014-05-29",1379.50
"2014-05-30",1368.90
"2014-06-02",1367.70
"2014-06-03",1368.20
"2014-06-04",1368.40
"2014-06-05",1377.30
"2014-06-06",1377.60
"2014-06-09",1380.20
"2014-06-10",1386.50
"2014-06-11",1387.00
"2014-06-12",1399.90
"2014-06-13",1401.60
"2014-06-16",1403.00
"2014-06-17",1399.90
"2014-06-18",1400.60
"2014-06-19",1442.50
"2014-06-20",1445.20
"2014-06-23",1447.00
"2014-06-24",1448.60
"2014-06-25",1449.20
"2014-06-26",1443.40
"2014-06-27",1444.70
"2014-06-30",1445.10
"2014-07-01",1450.20
"2014-07-02",1454.80
"2014-07-03",1445.60
"2014-07-04",1321.30
"2014-07-07",1442.00
"2014-07-08",1441.40
"2014-07-09",1449.70
"2014-07-10",1464.70
"2014-07-11",1462.90
"2014-07-14",1430.70
"2014-07-15",1421.30
"2014-07-16",1424.90
"2014-07-17",1442.10
"2014-07-18",1434.70
"2014-07-21",1439.60
"2014-07-22",1431.60
"2014-07-23",1430.30
"2014-07-24",1417.30
"2014-07-25",1430.30
"2014-07-28",1432.00
"2014-07-29",1426.70
"2014-07-30",1426.10
"2014-07-31",1411.50
"2014-08-01",1421.10
"2014-08-04",1411.90
"2014-08-05",1409.00
"2014-08-06",1432.70
"2014-08-07",1437.30
"2014-08-08",1435.90
"2014-08-11",1435.50
"2014-08-12",1435.30
"2014-08-13",1437.90
"2014-08-14",1439.10
"2014-08-15",1429.40
"2014-08-18",1422.80
"2014-08-19",1419.00
"2014-08-20",1419.00
"2014-08-21",1399.20
"2014-08-22",1404.10
"2014-08-25",1403.10
"2014-08-26",1409.30
"2014-08-27",1406.90
"2014-08-28",1413.80
"2014-08-29",1410.60
"2014-08-31",1287.70
"2014-09-01",1287.40
"2014-09-02",1389.00
"2014-09-03",1395.50
"2014-09-04",1392.30
"2014-09-05",1393.20
"2014-09-08",1380.20
"2014-09-09",1374.60
"2014-09-10",1372.00
"2014-09-11",1365.40
"2014-09-12",1357.80
"2014-09-15",1361.30
"2014-09-16",1363.00
"2014-09-17",1362.00
"2014-09-18",1353.40
"2014-09-19",1343.10
"2014-09-22",1344.20
"2014-09-23",1347.20
"2014-09-24",1344.90
"2014-09-25",1346.40
"2014-09-26",1340.40
"2014-09-29",1343.70
"2014-09-30",1336.70
"2014-10-01",1340.20
"2014-10-02",1338.10
"2014-10-03",1316.90
"2014-10-06",1330.70
"2014-10-07",1333.60
"2014-10-08",1314.20
"2014-10-09",1328.80
"2014-10-10",1323.70
"2014-10-13",1329.30
"2014-10-14",1329.30
"2014-10-15",1331.30
"2014-10-16",1327.50
"2014-10-17",1328.50
"2014-10-20",1334.30
"2014-10-21",1341.80
"2014-10-22",1336.60
"2014-10-23",1322.10
"2014-10-24",1325.00
"2014-10-27",1322.40
"2014-10-28",1322.60
"2014-10-29",1319.20
"2014-10-30",1292.90
"2014-10-31",1265.90
"2014-11-03",1264.40
"2014-11-04",1260.30
"2014-11-05",1238.10
"2014-11-06",1234.40
"2014-11-07",1261.00
"2014-11-10",1251.30
"2014-11-11",1255.10
"2014-11-12",1250.40
"2014-11-13",1251.40
"2014-11-14",1275.60
"2014-11-17",1273.70
"2014-11-18",1285.50
"2014-11-19",1283.40
"2014-11-20",1278.90
"2014-11-21",1285.90
"2014-11-24",1284.20
"2014-11-25",1285.20
"2014-11-26",1284.50
"2014-11-27",1188.80
"2014-11-28",1261.20
"2014-12-01",1302.50
"2014-12-02",1284.70
"2014-12-03",1295.80
"2014-12-04",1294.20
"2014-12-05",1280.80
"2014-12-08",1284.40
"2014-12-09",1320.20
"2014-12-10",1315.50
"2014-12-11",1312.30
"2014-12-12",1303.50
"2014-12-15",1287.70
"2014-12-16",1272.00
"2014-12-17",1272.30
"2014-12-18",1273.90
"2014-12-19",1275.60
"2014-12-22",1259.70
"2014-12-23",1259.70
"2014-12-24",1255.60
"2014-12-25",1177.00
"2014-12-26",1277.70
"2014-12-29",1262.90
"2014-12-30",1281.90
"2014-12-31",1265.40
"2015-01-01",1186.80
"2015-01-02",1267.70
"2015-01-05",1283.50
"2015-01-06",1292.20
"2015-01-07",1283.60
"2015-01-08",1281.60
"2015-01-09",1287.40
"2015-01-12",1303.20
"2015-01-13",1304.50
"2015-01-14",1294.50
"2015-01-15",1322.80
"2015-01-16",1334.90
"2015-01-18",1279.00
"2015-01-19",1275.90
"2015-01-20",1352.40
"2015-01-21",1353.40
"2015-01-22",1365.20
"2015-01-23",1357.60
"2015-01-26",1345.60
"2015-01-27",1354.70
"2015-01-28",1346.90
"2015-01-29",1315.80
"2015-01-30",1336.60
"2015-02-02",1334.40
"2015-02-03",1319.30
"2015-02-04",1325.40
"2015-02-05",1323.90
"2015-02-06",1301.60
"2015-02-09",1308.90
"2015-02-10",1300.20
"2015-02-11",1288.20
"2015-02-12",1287.70
"2015-02-13",1294.20
"2015-02-15",1228.80
"2015-02-16",1231.70
"2015-02-17",1278.90
"2015-02-18",1270.50
"2015-02-19",1275.90
"2015-02-20",1272.20
"2015-02-23",1267.70
"2015-02-24",1262.10
"2015-02-25",1265.00
"2015-02-26",1275.10
"2015-02-27",1278.40
"2015-03-02",1274.80
"2015-03-03",1273.20
"2015-03-04",1269.60
"2015-03-05",1265.10
"2015-03-06",1234.60
"2015-03-09",1237.00
"2015-03-10",1227.10
"2015-03-11",1217.40
"2015-03-12",1218.00
"2015-03-13",1217.90
"2015-03-16",1218.30
"2015-03-17",1213.50
"2015-03-18",1216.50
"2015-03-19",1228.50
"2015-03-20",1243.70
"2015-03-23",1246.50
"2015-03-24",1250.20
"2015-03-25",1256.30
"2015-03-26",1266.00
"2015-03-27",1260.90
"2015-03-30",1245.40
"2015-03-31",1241.20
"2015-04-01",1263.20
"2015-04-02",1257.20
"2015-04-03",1257.20
"2015-04-06",1274.40
"2015-04-07",1267.40
"2015-04-08",1260.10
"2015-04-09",1250.60
"2015-04-10",1262.30
"2015-04-13",1256.80
"2015-04-14",1247.10
"2015-04-15",1255.50
"2015-04-16",1252.00
"2015-04-17",1257.10
"2015-04-20",1248.30
"2015-04-21",1258.10
"2015-04-22",1243.70
"2015-04-23",1251.00
"2015-04-24",1229.40
"2015-04-27",1258.20
"2015-04-28",1270.40
"2015-04-29",1269.00
"2015-04-30",1242.00
"2015-05-01",1235.10
"2015-05-04",1248.00
"2015-05-05",1257.20
"2015-05-06",1255.70
"2015-05-07",1247.50
"2015-05-08",1251.50
"2015-05-11",1246.30
"2015-05-12",1256.00
"2015-05-13",1281.20
"2015-05-14",1288.00
"2015-05-15",1287.90
"2015-05-18",1290.20
"2015-05-19",1270.40
"2015-05-20",1272.50
"2015-05-21",1267.10
"2015-05-22",1268.70
"2015-05-24",1204.40
"2015-05-25",1207.40
"2015-05-26",1251.20
"2015-05-27",1249.60
"2015-05-28",1251.50
"2015-05-29",1251.70
"2015-06-01",1251.40
"2015-06-02",1258.80
"2015-06-03",1250.90
"2015-06-04",1241.10
"2015-06-05",1237.60
"2015-06-08",1243.00
"2015-06-09",1247.80
"2015-06-10",1259.60
"2015-06-11",1253.60
"2015-06-12",1252.00
"2015-06-15",1256.80
"2015-06-16",1250.40
"2015-06-17",1247.90
"2015-06-18",1271.80
"2015-06-19",1270.40
"2015-06-22",1253.10
"2015-06-23",1245.80
"2015-06-24",1242.00
"2015-06-25",1241.30
"2015-06-26",1244.10
"2015-06-29",1249.00
"2015-06-30",1241.80
"2015-07-01",1239.50
"2015-07-02",1232.50
"2015-07-03",1167.80
"2015-07-06",1241.60
"2015-07-07",1220.50
"2015-07-08",1229.60
"2015-07-09",1226.10
"2015-07-10",1227.60
"2015-07-13",1226.00
"2015-07-14",1223.40
"2015-07-15",1217.30
"2015-07-16",1214.20
"2015-07-17",1201.70
"2015-07-20",1176.50
"2015-07-21",1170.50
"2015-07-22",1158.60
"2015-07-23",1161.10
"2015-07-24",1151.00
"2015-07-27",1161.60
"2015-07-28",1161.60
"2015-07-29",1158.50
"2015-07-30",1154.40
"2015-07-31",1154.10
"2015-08-03",1147.80
"2015-08-04",1149.70
"2015-08-05",1148.10
"2015-08-06",1152.60
"2015-08-07",1156.80
"2015-08-10",1166.80
"2015-08-11",1168.70
"2015-08-12",1184.00
"2015-08-13",1176.10
"2015-08-14",1173.30
"2015-08-17",1178.90
"2015-08-18",1177.30
"2015-08-19",1188.10
"2015-08-20",1213.20
"2015-08-21",1217.80
"2015-08-24",1209.90
"2015-08-25",1194.70
"2015-08-26",1180.00
"2015-08-27",1178.20
"2015-08-28",1189.40
"2015-08-31",1187.90
"2015-09-01",1192.30
"2015-09-02",1185.40
"2015-09-03",1174.50
"2015-09-04",1171.50
"2015-09-06",1119.90
"2015-09-07",1119.90
"2015-09-08",1170.90
"2015-09-09",1151.70
"2015-09-10",1158.90
"2015-09-11",1152.90
"2015-09-14",1156.70
"2015-09-15",1151.50
"2015-09-16",1168.60
"2015-09-17",1167.20
"2015-09-18",1186.50
"2015-09-21",1181.80
"2015-09-22",1172.70
"2015-09-23",1179.40
"2015-09-24",1200.70
"2015-09-25",1192.60
"2015-09-28",1178.20
"2015-09-29",1172.90
"2015-09-30",1158.40
"2015-10-01",1156.90
"2015-10-02",1179.00
"2015-10-05",1178.30
"2015-10-06",1186.40
"2015-10-07",1189.10
"2015-10-08",1185.00
"2015-10-09",1197.50
"2015-10-12",1206.20
"2015-10-13",1206.90
"2015-10-14",1219.30
"2015-10-15",1227.10
"2015-10-16",1222.30
"2015-10-19",1212.00
"2015-10-20",1216.60
"2015-10-21",1205.40
"2015-10-22",1204.10
"2015-10-23",1200.10
"2015-10-26",1201.70
"2015-10-27",1199.80
"2015-10-28",1210.90
"2015-10-29",1183.40
"2015-10-30",1176.80
"2015-11-02",1172.00
"2015-11-03",1150.20
"2015-11-04",1142.80
"2015-11-05",1141.70
"2015-11-06",1129.50
"2015-11-09",1130.80
"2015-11-10",1131.00
"2015-11-11",1127.00
"2015-11-12",1122.90
"2015-11-13",1122.90
"2015-11-16",1124.10
"2015-11-17",1108.50
"2015-11-18",1108.50
"2015-11-19",1117.20
"2015-11-20",1115.40
"2015-11-23",1106.30
"2015-11-24",1113.20
"2015-11-25",1110.00
"2015-11-26",1070.80
"2015-11-27",1096.50
"2015-11-30",1105.90
"2015-12-01",1104.00
"2015-12-02",1094.40
"2015-12-03",1102.60
"2015-12-04",1125.20
"2015-12-07",1116.30
"2015-12-08",1116.40
"2015-12-09",1117.30
"2015-12-10",1112.70
"2015-12-11",1116.20
"2015-12-14",1103.80
"2015-12-15",1102.20
"2015-12-16",1117.70
"2015-12-17",1090.50
"2015-12-18",1105.70
"2015-12-21",1122.90
"2015-12-22",1116.40
"2015-12-23",1110.60
"2015-12-24",1118.30
"2015-12-28",1110.50
"2015-12-29",1111.00
"2015-12-30",1103.20
"2015-12-31",1103.40
"2016-01-04",1118.10
"2016-01-05",1121.00
"2016-01-06",1134.50
"2016-01-07",1145.30
"2016-01-08",1134.90
"2016-01-11",1131.70
"2016-01-12",1120.30
"2016-01-13",1120.60
"2016-01-14",1106.40
"2016-01-15",1121.60
"2016-01-17",1090.30
"2016-01-18",1088.50
"2016-01-19",1119.90
"2016-01-20",1135.80
"2016-01-21",1127.70
"2016-01-22",1126.70
"2016-01-25",1136.50
"2016-01-26",1151.40
"2016-01-27",1148.00
"2016-01-28",1147.80
"2016-01-29",1146.20
"2016-02-01",1157.80
"2016-02-02",1156.40
"2016-02-03",1169.60
"2016-02-04",1184.00
"2016-02-05",1184.30
"2016-02-08",1224.50
"2016-02-09",1223.40
"2016-02-10",1219.30
"2016-02-11",1268.80
"2016-02-12",1257.90
"2016-02-14",1233.60
"2016-02-15",1208.10
"2016-02-16",1227.80
"2016-02-17",1233.90
"2016-02-18",1249.20
"2016-02-19",1254.10
"2016-02-22",1233.40
"2016-02-23",1248.10
"2016-02-24",1263.80
"2016-02-25",1263.70
"2016-02-26",1245.50
"2016-02-29",1260.00
"2016-03-01",1257.90
"2016-03-02",1269.70
"2016-03-03",1287.40
"2016-03-04",1302.30
