"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol","Perubahan%"
"2014-01-01",1205.40,1203.60,1205.40,1202.80,0,-11.85
"2014-01-02",1391.70,1391.70,1391.70,1391.70,0.21K,15.46
"2014-01-03",1405.50,1405.50,1405.50,1405.50,0.14K,0.99
"2014-01-06",1405.00,1405.00,1405.00,1405.00,0.13K,-0.04
"2014-01-07",1395.50,1395.50,1395.50,1395.50,0.07K,-0.68
"2014-01-08",1392.60,1392.60,1392.60,1392.60,0.19K,-0.21
"2014-01-09",1397.90,1397.90,1397.90,1397.90,0.01K,0.38
"2014-01-10",1413.40,1398.90,1398.90,1398.90,0.00K,1.11
"2014-01-13",1416.00,1416.00,1416.00,1416.00,0.05K,0.18
"2014-01-14",1411.80,1411.80,1411.80,1411.80,0.04K,-0.3
"2014-01-15",1405.90,1405.90,1405.90,1405.90,0.07K,-0.42
"2014-01-16",1405.70,1405.70,1405.70,1405.70,0.05K,-0.01
"2014-01-17",1417.10,1417.10,1417.10,1417.10,0.10K,0.81
"2014-01-20",1255.10,1255.70,1257.90,1253.10,0,-11.43
"2014-01-21",1405.10,1405.10,1405.10,1405.10,0.22K,11.95
"2014-01-22",1403.60,1403.60,1403.60,1403.60,0.06K,-0.11
"2014-01-23",1426.10,1426.10,1426.10,1426.10,0.04K,1.6
"2014-01-24",1426.00,1426.00,1426.00,1426.00,0.04K,-0.01
"2014-01-27",1425.10,1425.10,1425.10,1421.00,0.09K,-0.06
"2014-01-28",1412.00,1412.00,1412.00,1412.00,0.02K,-0.92
"2014-01-29",1422.20,1422.20,1422.20,1422.20,0,0.72
"2014-01-30",1402.80,1402.80,1402.80,1402.80,45.28K,-1.36
"2014-01-31",1398.90,1398.90,1398.90,1398.90,5.82K,-0.28
"2014-02-03",1417.10,1417.10,1417.10,1417.10,2.91K,1.3
"2014-02-04",1407.30,1407.30,1407.30,1407.30,1.75K,-0.69
"2014-02-05",1413.00,1413.00,1413.00,1413.00,1.62K,0.41
"2014-02-06",1413.30,1410.20,1410.20,1410.20,0.00K,0.02
"2014-02-07",1415.70,1415.70,1415.70,1415.70,0.44K,0.17
"2014-02-10",1427.50,1427.50,1427.50,1427.50,0.74K,0.83
"2014-02-11",1443.60,1443.60,1443.60,1443.60,0.56K,1.13
"2014-02-12",1451.10,1451.10,1451.10,1451.10,0.14K,0.52
"2014-02-13",1451.40,1451.40,1451.40,1451.40,0.03K,0.02
"2014-02-14",1470.80,1470.80,1470.80,1470.80,0.31K,1.34
"2014-02-17",1328.50,1323.70,1332.20,1321.10,0,-9.68
"2014-02-18",1473.20,1465.40,1465.40,1465.40,0.03K,10.89
"2014-02-19",1467.70,1467.70,1467.70,1467.70,0.19K,-0.37
"2014-02-20",1467.80,1467.80,1467.80,1467.80,0.12K,0.01
"2014-02-21",1474.40,1474.40,1474.40,1474.40,0.17K,0.45
"2014-02-24",1491.00,1491.00,1491.00,1491.00,0.09K,1.13
